start_iso	end_iso	N	Mc	b	Years
1513-01-01T00:00:00	1900-01-01T00:00:00	51	8.300	1.000	386.99
1900-01-01T00:00:00	1950-01-01T00:00:00	102	6.800	1.000	50.00
1950-01-01T00:00:00	1976-01-01T00:00:00	910	6.000	1.000	26.00
1976-01-01T00:00:00	1986-01-01T00:00:00	526	5.300	1.000	10.00
1986-01-01T00:00:00	1997-01-01T00:00:00	1910	5.200	1.000	11.00
1997-01-01T00:00:00	2002-01-01T00:00:00	1648	5.000	1.000	5.00
2001-01-01T00:00:00	2007-01-01T00:00:00	2419	4.700	1.000	6.00
2007-01-01T00:00:00	2010-01-01T00:00:00	1162	4.700	1.000	3.00
2010-01-01T00:00:00	2013-01-01T00:00:00	4779	4.700	1.000	3.00
2014-01-01T00:00:00	2016-01-01T00:00:00	3118	4.400	1.000	2.00
2016-01-01T00:00:00	2022-12-30T21:37:14	4556	4.400	1.000	7.00